Age Group,Gender,City,Occupation,Income Range,Shopping Frequency,Spend Per Transaction,Preferred Categories,Payment Methods,Purchase Factor,Willing to Try New Platform,Expected Monthly Spend,Subscribed to Loyalty Program,Loyalty Engagement Factors,Referral Likelihood,Offer Preferences,Preferred Shopping Time,Preferred Shopping Day,Experienced Delivery Issues,Delivery Issue Types,Willing to Pay for Fast Delivery,Cluster
3,2,5,0,1,1,1323,Groceries;Electronics;Clothing,Card;UPI,2,0,3632,0,Early Access,0,Flat Discounts;Free Delivery,3,1,0,Wrong Item,2,3
2,0,1,3,2,3,1912,Beauty & Wellness;Groceries;Home & Kitchen,UPI;Wallet,2,1,2565,0,Recommendations;Early Access;Cashback,0,Free Delivery;BOGO,0,0,0,Delays,1,1
0,1,3,2,1,3,1109,Clothing,COD;Wallet;Card,1,2,2300,1,Cashback;Exclusive Deals;Recommendations,2,Free Delivery;BOGO,0,0,0,None,2,0
0,0,0,4,0,1,1279,Electronics;Toys,Card;COD,3,1,2575,1,Exclusive Deals;Cashback,0,Flat Discounts;Free Delivery;BOGO,0,0,0,Wrong Item;Delays,0,3
0,0,3,4,0,0,1207,Electronics;Groceries,Card;UPI,1,2,2967,1,Exclusive Deals;Early Access,0,Surprise Gifts;BOGO;Free Delivery,1,0,1,Delays;Payment Issues;None,2,3
1,1,2,3,0,2,2118,Home & Kitchen;Groceries,COD;UPI,1,2,2776,0,Early Access;Cashback;Exclusive Deals,3,Flat Discounts;Surprise Gifts;Free Delivery,0,1,0,Poor Packaging;None;Wrong Item,2,1
1,0,2,3,1,1,1592,Toys,Wallet;UPI,3,1,1952,0,Cashback;Recommendations;Exclusive Deals,3,BOGO;Free Delivery,2,1,0,Wrong Item,0,3
1,0,0,4,0,1,1323,Home & Kitchen;Electronics,UPI;COD;Wallet,2,0,3687,1,Early Access;Recommendations;Exclusive Deals,2,BOGO;Free Delivery;Surprise Gifts,0,0,1,Payment Issues;Poor Packaging;Delays,0,3
1,1,5,4,1,3,1375,Electronics;Home & Kitchen,UPI;COD;Wallet,0,2,3315,0,Cashback,2,Surprise Gifts;Free Delivery;BOGO,0,0,0,Wrong Item,2,1
1,0,1,1,2,3,1602,Toys;Home & Kitchen,COD,3,2,2849,0,Recommendations;Cashback,3,Surprise Gifts;Free Delivery,1,0,0,Payment Issues;None,2,1
0,1,3,3,1,2,2573,Home & Kitchen;Clothing,Wallet;COD,0,2,3477,1,Cashback;Exclusive Deals,0,Surprise Gifts;BOGO,1,0,0,Delays;None;Poor Packaging,0,0
1,0,2,4,0,3,858,Electronics;Toys;Clothing,COD;Wallet;Card,2,2,2143,0,Cashback;Recommendations,0,BOGO;Surprise Gifts;Flat Discounts,1,1,0,None;Poor Packaging;Payment Issues,2,1
1,2,5,4,1,1,6051,Electronics;Clothing,COD;UPI,1,2,8399,0,Recommendations,1,Flat Discounts;Surprise Gifts,3,0,0,Wrong Item;None,0,2
1,0,0,3,0,3,1883,Beauty & Wellness,Wallet;Card,0,2,2257,0,Cashback;Recommendations;Early Access,2,Flat Discounts,0,0,1,Delays;Wrong Item,1,1
2,1,4,3,3,3,1070,Beauty & Wellness;Groceries,UPI;Wallet;Card,2,1,1375,1,Early Access;Exclusive Deals;Recommendations,2,BOGO;Flat Discounts;Free Delivery,0,1,0,Payment Issues,2,0
0,0,2,4,0,0,2480,Groceries,Card;Wallet;UPI,2,2,4303,1,Exclusive Deals;Cashback,2,BOGO,2,1,0,Wrong Item;Delays,1,3
1,0,0,4,2,3,1923,Clothing;Groceries,UPI;COD;Wallet,1,2,2889,1,Early Access;Exclusive Deals,1,Free Delivery;Surprise Gifts;BOGO,0,1,1,Poor Packaging;None;Wrong Item,0,0
1,1,3,4,2,2,1295,Toys;Electronics;Clothing,Card;UPI;Wallet,1,1,1487,1,Early Access;Cashback;Exclusive Deals,1,Surprise Gifts,1,0,0,Wrong Item,0,0
0,0,1,4,1,3,484,Toys;Clothing;Home & Kitchen,Wallet,2,1,1649,1,Early Access,0,BOGO;Flat Discounts,1,0,1,Delays;Wrong Item,2,0
1,1,2,4,0,3,1737,Beauty & Wellness;Groceries,Wallet,2,2,3188,0,Cashback;Early Access,3,Flat Discounts;BOGO,0,0,1,Delays;Payment Issues;Wrong Item,1,1
0,0,2,3,1,3,1573,Toys;Home & Kitchen;Clothing,UPI;Wallet;COD,0,2,3785,0,Exclusive Deals;Cashback,3,Surprise Gifts,1,0,1,Delays;Poor Packaging;None,2,1
0,1,3,4,0,3,981,Groceries;Electronics;Clothing,Card;UPI,2,1,1445,0,Recommendations;Early Access,3,Free Delivery,1,1,0,Delays;None,1,1
3,1,4,2,0,3,4198,Groceries,COD;Wallet;UPI,2,2,5118,1,Cashback,0,Surprise Gifts;BOGO;Free Delivery,1,0,0,None,0,2
3,1,5,4,2,1,2121,Groceries;Electronics,COD;Wallet;Card,0,2,3728,0,Recommendations;Early Access;Cashback,3,Flat Discounts;BOGO;Free Delivery,3,1,0,Payment Issues;Wrong Item;None,2,3
2,0,1,4,3,3,426,Home & Kitchen,Card;COD,3,1,2555,0,Exclusive Deals;Early Access,1,BOGO;Surprise Gifts;Flat Discounts,0,0,0,Wrong Item;None;Delays,0,1
1,1,2,4,1,3,1788,Groceries;Clothing;Beauty & Wellness,Wallet,0,2,3812,0,Recommendations,1,Flat Discounts;Free Delivery;Surprise Gifts,0,1,0,Payment Issues,1,1
0,0,1,0,3,3,1487,Toys;Beauty & Wellness,Card,0,2,2672,0,Early Access;Exclusive Deals,2,BOGO,3,0,0,Payment Issues;Poor Packaging;Wrong Item,0,1
2,1,2,0,0,2,1898,Groceries,COD;UPI;Wallet,1,2,3294,0,Exclusive Deals;Cashback;Early Access,3,Free Delivery;Surprise Gifts;Flat Discounts,1,1,0,Payment Issues;None;Poor Packaging,0,1
1,1,1,4,1,3,1423,Clothing,Card,0,2,3799,0,Exclusive Deals;Cashback;Recommendations,1,Surprise Gifts,1,0,0,Payment Issues;None,2,1
0,0,0,2,1,3,1775,Home & Kitchen;Toys;Groceries,Wallet,2,2,2918,1,Exclusive Deals;Recommendations;Cashback,2,BOGO;Flat Discounts;Free Delivery,0,0,0,Delays;Payment Issues,2,0
1,0,2,3,0,1,1154,Home & Kitchen;Beauty & Wellness;Toys,UPI,2,0,1256,0,Exclusive Deals;Recommendations;Cashback,3,Free Delivery;BOGO,1,1,1,Payment Issues;Poor Packaging,2,3
0,1,1,3,1,3,1570,Clothing;Toys,Wallet;UPI,2,2,3423,1,Cashback;Recommendations;Exclusive Deals,3,Surprise Gifts;Flat Discounts;Free Delivery,1,0,0,Payment Issues,2,0
3,0,5,0,3,3,1893,Beauty & Wellness;Electronics;Home & Kitchen,UPI;COD,3,2,2903,1,Cashback,1,BOGO;Free Delivery;Surprise Gifts,0,0,0,None;Delays;Poor Packaging,1,0
0,0,0,1,1,3,1690,Clothing,COD,2,2,2096,1,Recommendations;Exclusive Deals,2,Free Delivery,3,1,0,Wrong Item;None,1,0
1,0,0,3,1,1,1828,Clothing;Beauty & Wellness;Electronics,Wallet,3,0,2063,1,Recommendations;Early Access,2,Surprise Gifts;Flat Discounts,1,0,0,Poor Packaging;Delays,0,3
1,1,5,4,0,3,1043,Beauty & Wellness;Home & Kitchen,Card;COD,2,2,3075,1,Early Access;Cashback;Recommendations,1,Surprise Gifts,1,0,0,None,1,0
1,1,1,3,0,1,1245,Home & Kitchen;Groceries,UPI;COD;Wallet,0,2,3585,1,Exclusive Deals,1,Free Delivery,1,0,0,Poor Packaging;Payment Issues;Delays,0,3
1,0,3,4,3,1,1255,Electronics;Toys;Groceries,COD;Card,1,0,2963,1,Cashback,1,BOGO,3,1,1,Delays;Wrong Item;Poor Packaging,0,3
0,1,5,0,2,3,1434,Groceries;Electronics;Toys,COD;UPI;Wallet,2,2,2972,0,Early Access;Recommendations;Cashback,3,Flat Discounts;Free Delivery;Surprise Gifts,0,0,1,Delays;Payment Issues;Poor Packaging,0,1
3,0,1,4,1,3,2415,Clothing;Beauty & Wellness,COD,3,2,3387,1,Exclusive Deals;Cashback;Early Access,1,Flat Discounts,3,0,0,None;Poor Packaging;Payment Issues,2,0
2,0,5,4,1,3,1387,Toys,COD;UPI;Card,3,2,2628,0,Cashback;Early Access,1,Flat Discounts,1,0,0,Payment Issues,1,1
3,0,5,4,1,1,913,Groceries;Home & Kitchen;Clothing,Card;Wallet,1,2,1678,1,Exclusive Deals;Early Access,0,Free Delivery;BOGO,1,0,0,Payment Issues;None;Wrong Item,2,3
3,0,2,3,3,3,1924,Electronics;Groceries;Clothing,Card,2,2,2232,0,Recommendations;Early Access;Exclusive Deals,1,BOGO;Surprise Gifts;Flat Discounts,3,0,0,Poor Packaging;Payment Issues;Wrong Item,2,1
1,2,1,4,0,3,2407,Groceries,Card;Wallet,0,1,3458,0,Recommendations,1,BOGO;Free Delivery,1,0,0,Delays,2,1
3,1,3,4,0,3,843,Home & Kitchen,UPI,2,2,2000,0,Recommendations;Cashback,3,Free Delivery;Flat Discounts;BOGO,1,0,0,None;Payment Issues;Poor Packaging,0,1
0,0,2,2,2,2,2783,Electronics;Home & Kitchen;Groceries,UPI;Wallet;Card,2,2,3531,0,Exclusive Deals,2,Surprise Gifts,1,0,1,Poor Packaging,1,1
0,1,5,1,0,3,1849,Electronics;Toys,COD;UPI,1,2,3290,1,Cashback,3,Free Delivery,2,0,0,None;Payment Issues,1,0
0,1,4,3,0,2,2220,Groceries;Clothing,COD,2,2,4487,0,Cashback;Exclusive Deals,0,Free Delivery,3,0,0,Delays;None,0,1
1,0,5,2,0,3,2480,Clothing,UPI;Card;COD,0,2,3206,0,Exclusive Deals;Early Access,1,Flat Discounts;BOGO;Surprise Gifts,2,0,0,Wrong Item;Poor Packaging,2,1
1,0,5,0,1,3,2183,Electronics;Toys;Beauty & Wellness,Card;Wallet,3,0,2807,0,Exclusive Deals;Cashback;Early Access,1,Surprise Gifts,3,0,0,Wrong Item;Payment Issues;Poor Packaging,1,1
0,2,1,0,3,3,1533,Home & Kitchen,UPI;COD;Wallet,1,2,3237,0,Recommendations,1,BOGO;Surprise Gifts;Free Delivery,0,0,0,Wrong Item;Payment Issues;None,0,1
2,0,1,4,0,3,2330,Clothing,Card;Wallet,0,1,4298,1,Recommendations;Early Access;Exclusive Deals,1,Surprise Gifts,1,0,0,Delays;Payment Issues,2,0
1,1,2,4,0,3,1752,Beauty & Wellness;Home & Kitchen;Clothing,UPI,3,2,2620,0,Exclusive Deals;Recommendations,1,BOGO;Surprise Gifts,2,0,0,Poor Packaging,1,1
1,1,3,4,3,0,2254,Home & Kitchen;Toys,Card;Wallet,1,2,4448,1,Cashback;Early Access,1,Surprise Gifts,1,1,0,Wrong Item,2,3
1,0,2,3,2,2,2319,Clothing;Home & Kitchen,UPI,1,2,3190,0,Recommendations;Early Access;Exclusive Deals,0,Free Delivery,1,0,0,None;Delays,0,1
0,1,0,4,2,1,945,Toys;Clothing;Groceries,Wallet;Card,3,2,1784,1,Cashback;Early Access,1,Surprise Gifts;BOGO;Free Delivery,1,0,0,Poor Packaging,2,3
2,1,5,4,0,1,2076,Toys;Groceries,Card;UPI,3,2,2697,0,Recommendations,1,BOGO;Free Delivery;Surprise Gifts,1,0,0,Delays;Poor Packaging,2,3
0,1,4,4,0,3,1490,Home & Kitchen;Beauty & Wellness,COD;Wallet;UPI,0,2,2990,1,Cashback;Recommendations,1,Surprise Gifts;Flat Discounts,3,0,0,Delays;None,1,0
3,1,5,0,0,3,1682,Clothing,COD;Wallet;UPI,2,1,3963,1,Recommendations;Early Access;Cashback,0,Surprise Gifts,1,1,1,Wrong Item;Payment Issues,2,0
2,1,5,4,3,3,1676,Electronics,Card;UPI;Wallet,2,2,2023,0,Recommendations;Early Access;Cashback,1,BOGO,0,0,0,None;Wrong Item,2,1
0,1,2,3,0,1,1652,Electronics;Home & Kitchen,UPI;Wallet,2,2,3093,0,Early Access,0,Surprise Gifts;Flat Discounts,0,0,1,Payment Issues,1,3
4,1,4,2,0,2,2514,Clothing;Home & Kitchen;Toys,Wallet;COD;Card,2,2,4472,0,Recommendations;Exclusive Deals,3,BOGO;Flat Discounts,0,0,0,Wrong Item,2,1
2,1,4,2,0,3,780,Electronics,UPI;COD;Card,2,2,1565,1,Recommendations;Cashback,1,BOGO;Flat Discounts;Free Delivery,1,0,0,None;Delays,1,0
2,2,4,0,0,3,4727,Toys;Electronics;Clothing,Wallet,0,2,5412,1,Early Access;Recommendations,2,Flat Discounts;BOGO;Free Delivery,2,0,0,Wrong Item;Delays,1,2
2,1,2,2,1,3,440,Electronics,UPI,1,2,2938,0,Exclusive Deals,0,BOGO,1,0,0,Payment Issues;Wrong Item,1,1
2,1,5,4,1,3,2241,Electronics;Home & Kitchen,UPI;Wallet,0,2,2483,0,Recommendations;Cashback,3,Flat Discounts;Free Delivery;BOGO,2,1,1,Poor Packaging;None;Wrong Item,1,1
0,0,2,2,1,3,1135,Groceries,COD;Wallet,0,1,2201,0,Cashback;Recommendations;Early Access,0,Free Delivery;Flat Discounts;Surprise Gifts,3,0,0,Payment Issues,2,1
1,1,1,3,0,1,1679,Beauty & Wellness;Clothing;Home & Kitchen,COD,0,0,2496,0,Recommendations;Exclusive Deals,0,Surprise Gifts;BOGO,1,0,0,None;Payment Issues,2,3
0,0,1,4,3,1,1531,Home & Kitchen;Toys;Beauty & Wellness,UPI;COD,1,2,2273,0,Cashback;Recommendations,3,Flat Discounts,1,0,0,None,0,3
2,0,2,4,1,3,1068,Beauty & Wellness,UPI;Wallet;Card,0,2,1537,1,Exclusive Deals;Recommendations,1,BOGO,1,0,1,Payment Issues;Wrong Item,0,0
1,1,4,3,1,0,2110,Clothing;Electronics,Wallet;Card,0,0,3319,0,Early Access,1,Free Delivery,1,0,0,Wrong Item;Payment Issues;Delays,2,3
1,1,5,3,2,2,1523,Toys,Wallet,1,2,2409,0,Exclusive Deals;Early Access,0,Surprise Gifts;Free Delivery;Flat Discounts,1,0,0,None;Wrong Item,1,1
0,0,2,4,2,3,1457,Groceries;Beauty & Wellness,Card;UPI,0,2,3040,1,Cashback;Recommendations;Early Access,3,Flat Discounts;BOGO,1,0,1,Payment Issues;Delays,1,0
1,0,2,0,0,3,1739,Beauty & Wellness;Electronics,COD,2,2,2788,0,Recommendations;Early Access;Exclusive Deals,1,Free Delivery;Surprise Gifts,1,0,0,None;Poor Packaging,1,1
1,1,2,4,1,3,2032,Toys;Electronics;Home & Kitchen,UPI,3,2,3480,0,Recommendations,0,Free Delivery;Flat Discounts,3,1,1,Wrong Item;Poor Packaging;None,1,1
2,0,0,3,0,0,1024,Toys;Groceries,COD;UPI,0,2,1645,1,Exclusive Deals;Recommendations;Early Access,2,Flat Discounts,1,0,0,Wrong Item,2,3
1,1,1,1,0,3,2123,Clothing,COD;UPI;Wallet,3,2,4175,1,Exclusive Deals,3,Flat Discounts,0,1,1,Poor Packaging;Payment Issues;None,0,0
3,2,4,4,1,1,2469,Clothing,UPI;Card,0,2,2923,1,Exclusive Deals;Cashback,2,BOGO;Flat Discounts;Free Delivery,0,0,0,Payment Issues;Poor Packaging;Wrong Item,2,3
1,1,3,4,1,3,744,Beauty & Wellness;Clothing;Toys,Card;COD;UPI,0,2,1790,0,Exclusive Deals,2,Flat Discounts,1,0,0,Poor Packaging;None,1,1
0,0,4,4,3,3,1766,Groceries,Wallet,2,1,4201,1,Cashback;Exclusive Deals;Early Access,0,Flat Discounts;BOGO;Surprise Gifts,0,1,0,Poor Packaging;Delays,0,0
2,0,3,4,0,1,1417,Clothing;Electronics,Wallet,1,2,2999,1,Recommendations;Exclusive Deals,3,Surprise Gifts,1,0,0,Delays;Poor Packaging;None,1,3
2,0,0,4,1,3,2019,Home & Kitchen;Electronics,COD,3,2,3766,0,Exclusive Deals;Cashback;Early Access,1,Surprise Gifts;Free Delivery;Flat Discounts,0,1,0,None,2,1
1,0,2,2,0,1,870,Toys,COD;Wallet;Card,1,2,1505,0,Cashback,1,Free Delivery;Surprise Gifts;Flat Discounts,3,1,1,Wrong Item;Payment Issues,0,3
2,1,0,4,0,1,2577,Electronics;Toys;Clothing,Card;UPI;Wallet,2,1,3991,0,Early Access;Cashback;Exclusive Deals,0,Free Delivery;BOGO,0,0,0,None,0,3
1,1,0,4,0,0,635,Beauty & Wellness,Card;Wallet;UPI,2,1,2950,0,Recommendations;Early Access,1,Surprise Gifts,3,0,0,None;Payment Issues;Delays,0,3
1,1,5,2,0,1,1453,Beauty & Wellness;Clothing,UPI;COD;Card,3,1,2502,0,Recommendations,1,Surprise Gifts,1,0,0,Wrong Item;Poor Packaging,1,3
1,1,1,0,0,3,1860,Electronics;Clothing,UPI;COD;Card,1,2,2580,0,Exclusive Deals,2,BOGO,0,1,1,Delays;Poor Packaging;Payment Issues,2,1
4,0,3,3,1,2,1188,Electronics;Beauty & Wellness,Wallet;UPI,2,1,1715,0,Recommendations;Exclusive Deals;Early Access,2,Flat Discounts;Free Delivery;BOGO,0,1,1,Delays;None,0,1
0,1,2,3,2,3,1093,Beauty & Wellness;Groceries,COD,0,1,2918,0,Cashback;Early Access,3,Flat Discounts;BOGO,3,0,0,Payment Issues,1,1
0,1,3,3,1,2,1733,Toys;Home & Kitchen,UPI,0,2,4076,1,Cashback;Recommendations;Exclusive Deals,2,Free Delivery;Surprise Gifts,0,0,0,Delays;Payment Issues;Poor Packaging,0,0
1,0,4,4,0,1,1646,Toys;Beauty & Wellness;Clothing,Wallet,0,2,2290,0,Exclusive Deals;Cashback;Early Access,1,Flat Discounts;Surprise Gifts,1,0,0,Payment Issues,2,3
1,0,3,4,0,3,1603,Groceries,COD;Card;Wallet,1,2,2526,1,Cashback,3,BOGO,3,0,0,Poor Packaging;Payment Issues;Delays,2,0
1,0,4,3,0,3,2115,Electronics,UPI,0,1,3217,1,Early Access;Cashback;Recommendations,3,BOGO;Surprise Gifts,1,0,0,None,0,0
3,2,1,2,0,2,1363,Toys;Home & Kitchen;Electronics,Wallet,0,2,2121,1,Early Access,0,BOGO;Free Delivery,2,0,0,None;Delays;Payment Issues,1,0
0,1,4,4,0,1,1791,Groceries;Electronics;Home & Kitchen,Wallet;COD;Card,2,2,3949,1,Cashback;Recommendations,2,Flat Discounts,1,0,0,None,2,3
1,1,3,4,0,3,1296,Beauty & Wellness;Home & Kitchen;Clothing,Wallet;UPI,2,0,2126,0,Recommendations,3,Surprise Gifts;BOGO,1,0,0,None,2,1
2,0,3,4,0,1,1090,Home & Kitchen,Wallet;COD;Card,0,1,3022,0,Exclusive Deals,1,Free Delivery;BOGO;Surprise Gifts,3,1,1,Poor Packaging;Wrong Item;Delays,1,3
0,0,4,4,2,3,1429,Clothing,COD,0,0,1937,0,Early Access;Recommendations;Cashback,3,Flat Discounts,0,1,1,Wrong Item;Payment Issues;Poor Packaging,2,1
0,1,0,3,0,0,1300,Home & Kitchen,Wallet,2,0,1483,0,Early Access;Cashback,3,Flat Discounts;BOGO,1,1,1,Delays;Poor Packaging,1,3
1,0,1,4,3,3,1330,Toys,UPI;Wallet;Card,3,2,3633,0,Early Access,0,Flat Discounts;Surprise Gifts,1,1,0,Wrong Item;Delays;Poor Packaging,1,1
0,1,5,1,0,3,2299,Beauty & Wellness,UPI,1,1,3105,1,Early Access;Exclusive Deals,1,Flat Discounts;BOGO;Free Delivery,1,0,0,Wrong Item,0,0
3,1,2,4,1,1,1447,Home & Kitchen,Wallet;Card;UPI,1,2,3508,0,Recommendations,1,Flat Discounts,1,0,1,Delays;None;Poor Packaging,2,3
2,0,3,4,1,3,1202,Home & Kitchen,UPI;Wallet,2,0,2749,0,Cashback;Exclusive Deals;Early Access,2,BOGO;Surprise Gifts,0,0,0,Delays,0,1
1,0,2,4,3,1,1616,Electronics;Home & Kitchen;Toys,Wallet;COD;UPI,1,2,1849,1,Cashback,1,Flat Discounts;Surprise Gifts;BOGO,3,1,1,Delays;Poor Packaging,2,3
2,0,5,3,1,0,1662,Toys;Home & Kitchen,COD;Card,2,0,2549,0,Early Access;Exclusive Deals;Recommendations,3,Flat Discounts;Surprise Gifts,1,1,1,Delays;None,1,3
2,1,2,3,0,3,887,Home & Kitchen;Groceries;Toys,Card;UPI;Wallet,2,1,1850,1,Exclusive Deals;Early Access;Cashback,1,Flat Discounts;Surprise Gifts,1,1,1,Poor Packaging;None,2,0
0,0,5,4,1,3,1420,Toys,Wallet;UPI;COD,2,1,2186,1,Cashback;Recommendations;Early Access,1,Flat Discounts;Free Delivery,0,1,1,Wrong Item,0,0
3,1,4,4,1,3,1396,Groceries;Clothing;Toys,Card;Wallet,2,2,1772,1,Early Access;Exclusive Deals,3,Surprise Gifts;Free Delivery;BOGO,1,0,0,Payment Issues;Poor Packaging;None,0,0
1,1,0,3,0,3,1496,Clothing;Groceries,COD,3,2,3371,1,Early Access;Exclusive Deals;Recommendations,0,Flat Discounts,0,0,0,Delays;Poor Packaging;None,0,0
2,0,3,1,0,3,2035,Groceries;Electronics,Wallet;Card;UPI,0,1,3016,0,Recommendations,2,Flat Discounts,0,0,0,Delays;Wrong Item;None,1,1
3,0,5,2,2,3,1682,Beauty & Wellness,COD,0,2,3842,0,Recommendations;Exclusive Deals;Cashback,2,Surprise Gifts,1,0,0,Wrong Item;None;Payment Issues,1,1
1,0,2,0,1,3,2336,Home & Kitchen;Electronics;Toys,COD,3,1,4825,1,Exclusive Deals;Early Access;Recommendations,0,Free Delivery;Flat Discounts;Surprise Gifts,1,0,0,None;Wrong Item;Poor Packaging,0,0
0,0,3,2,1,3,1593,Clothing;Home & Kitchen;Groceries,Wallet;UPI,1,2,3775,0,Cashback,3,Flat Discounts;BOGO;Free Delivery,1,0,0,Payment Issues;None,0,1
0,0,0,4,2,3,2665,Groceries,UPI;Wallet,1,1,4002,0,Cashback,2,Free Delivery;BOGO;Flat Discounts,3,0,1,Delays;Poor Packaging;Wrong Item,0,1
1,0,4,2,0,1,1323,Clothing,Wallet;COD,0,2,1581,1,Cashback;Early Access,0,BOGO,0,0,1,Payment Issues;Poor Packaging;Wrong Item,2,3
2,1,3,3,0,2,1138,Groceries;Clothing,Card,1,1,2371,1,Recommendations,0,Free Delivery;BOGO;Flat Discounts,1,0,0,Delays;Poor Packaging;Wrong Item,0,0
2,1,5,2,2,3,1928,Home & Kitchen;Groceries,COD,0,1,3879,0,Cashback;Exclusive Deals,0,BOGO,0,0,1,Wrong Item;Delays,2,1
4,1,0,2,3,3,2418,Toys;Home & Kitchen;Electronics,Card,0,2,2796,0,Exclusive Deals;Cashback,2,BOGO;Surprise Gifts,1,0,1,Poor Packaging;Delays,2,1
1,1,2,0,0,3,772,Home & Kitchen;Groceries;Electronics,COD,3,2,982,0,Exclusive Deals;Early Access;Recommendations,2,Surprise Gifts;Free Delivery;Flat Discounts,2,0,0,Poor Packaging;Delays;Payment Issues,2,1
1,0,0,2,2,2,1481,Groceries,Card;UPI,1,2,2122,1,Cashback;Exclusive Deals,2,Surprise Gifts;BOGO,1,0,0,Delays;Poor Packaging,2,0
0,0,0,4,0,3,1233,Electronics,UPI,3,2,2471,0,Early Access;Cashback,2,Free Delivery;Surprise Gifts,0,1,1,Payment Issues,0,1
0,1,1,4,1,3,1685,Home & Kitchen;Clothing;Groceries,Wallet;Card;UPI,0,2,2144,1,Early Access,1,Surprise Gifts;Free Delivery;Flat Discounts,1,0,1,Poor Packaging,0,0
1,1,0,4,2,3,1606,Home & Kitchen;Clothing,Wallet,0,1,2944,1,Recommendations;Early Access,0,Free Delivery;Surprise Gifts,0,0,0,Poor Packaging;Payment Issues;Delays,0,0
3,0,0,4,1,3,2407,Groceries;Clothing;Toys,Card;UPI,0,2,4263,0,Cashback;Recommendations;Early Access,1,BOGO;Surprise Gifts,3,1,0,Payment Issues,1,1
1,1,3,3,0,3,1534,Beauty & Wellness;Groceries;Electronics,UPI;Card;COD,2,2,2588,1,Early Access;Recommendations,0,Flat Discounts,3,1,1,None;Wrong Item;Poor Packaging,1,0
1,0,2,4,2,1,2424,Toys,Wallet;COD;Card,2,2,4830,1,Recommendations;Cashback,2,Flat Discounts;Surprise Gifts,0,1,0,None;Poor Packaging;Payment Issues,0,3
2,0,3,2,0,3,1410,Groceries;Electronics,Card;Wallet,2,2,3677,1,Exclusive Deals;Recommendations;Cashback,2,Free Delivery,2,0,0,Wrong Item,2,0
1,1,3,3,0,1,2155,Groceries,Card,3,2,3230,1,Recommendations;Early Access;Exclusive Deals,1,Surprise Gifts;Free Delivery,0,0,0,Wrong Item;Payment Issues;Poor Packaging,0,3
3,0,5,0,0,3,1737,Toys,COD,0,0,2749,0,Recommendations;Early Access,3,Free Delivery,0,0,0,None;Payment Issues;Wrong Item,1,1
3,0,3,2,3,3,2637,Clothing;Beauty & Wellness,UPI,1,0,3888,0,Early Access,2,BOGO;Surprise Gifts,2,0,1,Wrong Item;Payment Issues;Poor Packaging,1,1
0,1,1,2,1,2,713,Toys;Beauty & Wellness;Electronics,UPI;Wallet;COD,3,2,1535,1,Early Access;Recommendations;Cashback,3,Free Delivery,3,1,0,Poor Packaging;Delays,1,0
1,0,1,2,3,3,901,Electronics,Card,3,2,2712,1,Early Access,0,Free Delivery;BOGO,1,0,0,Poor Packaging;None;Wrong Item,0,0
1,0,5,4,0,1,2698,Clothing;Home & Kitchen;Electronics,Wallet;Card;UPI,3,1,3122,1,Cashback;Recommendations,1,BOGO;Flat Discounts;Free Delivery,0,0,1,Wrong Item;Payment Issues;Delays,2,3
